STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DLY-TAVG-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL
USC00105414,1-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",215,303,127
USC00105414,2-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",216,303,128
USC00105414,3-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",216,304,129
USC00105414,4-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",217,304,129
USC00105414,5-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",218,305,130
USC00105414,6-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",218,306,131
USC00105414,7-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",219,307,132
USC00105414,8-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",220,308,133
USC00105414,9-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",221,309,133
USC00105414,10-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",222,310,134
USC00105414,11-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",223,311,135
USC00105414,12-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",224,312,135
USC00105414,13-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",225,313,136
USC00105414,14-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",225,315,136
USC00105414,15-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",226,316,137
USC00105414,16-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",227,318,137
USC00105414,17-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",228,319,137
USC00105414,18-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",229,321,138
USC00105414,19-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",230,322,138
USC00105414,20-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",231,324,138
USC00105414,21-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",232,326,138
USC00105414,22-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",233,328,138
USC00105414,23-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",234,329,138
USC00105414,24-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",235,331,138
USC00105414,25-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",235,333,138
USC00105414,26-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",236,335,138
USC00105414,27-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",237,337,137
USC00105414,28-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",238,340,137
USC00105414,29-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",239,342,137
USC00105414,30-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",240,344,137
USC00105414,31-Jan,44.08278,-115.61861,1194.8,"LOWMAN, ID US",242,346,137
USC00105414,1-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",243,348,137
USC00105414,2-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",244,351,137
USC00105414,3-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",245,353,137
USC00105414,4-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",246,356,137
USC00105414,5-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",248,358,138
USC00105414,6-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",249,361,138
USC00105414,7-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",251,363,139
USC00105414,8-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",252,366,139
USC00105414,9-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",254,368,140
USC00105414,10-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",256,371,141
USC00105414,11-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",258,374,142
USC00105414,12-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",260,376,143
USC00105414,13-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",262,379,145
USC00105414,14-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",264,382,146
USC00105414,15-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",266,384,148
USC00105414,16-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",268,387,150
USC00105414,17-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",271,390,152
USC00105414,18-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",273,393,154
USC00105414,19-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",276,396,156
USC00105414,20-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",279,399,159
USC00105414,21-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",282,402,162
USC00105414,22-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",285,405,164
USC00105414,23-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",287,408,167
USC00105414,24-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",291,411,170
USC00105414,25-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",294,414,174
USC00105414,26-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",297,417,177
USC00105414,27-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",300,420,180
USC00105414,28-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",303,423,184
USC00105414,29-Feb,44.08278,-115.61861,1194.8,"LOWMAN, ID US",305,425,186
USC00105414,1-Mar,44.08278,-115.61861,1194.8,"LOWMAN, ID US",307,426,188
USC00105414,2-Mar,44.08278,-115.61861,1194.8,"LOWMAN, ID US",310,429,191
